,pressure,temperature,salinity
351,1845.04,3.92,34.95
352,1849.04,3.91,34.95
353,1854.07,3.91,34.95
354,1859.06,3.91,34.95
355,1864.07,3.91,34.95
356,1869.1,3.9,34.96
357,1874.02,3.89,34.96
358,1879.04,3.89,34.96
359,1884.06,3.88,34.96
360,1889.04,3.88,34.96
361,1894.12,3.87,34.96
362,1899.14,3.87,34.96
363,1904.12,3.86,34.96
364,1909.08,3.86,34.96
365,1914.1,3.85,34.96
366,1919.04,3.85,34.96
367,1924.04,3.85,34.96
368,1929.08,3.84,34.96
369,1934.02,3.84,34.96
370,1939.07,3.83,34.97
371,1944.14,3.82,34.96
372,1948.6,3.82,34.96
373,1953.07,3.82,34.96
374,1958.17,3.81,34.96
375,1963.07,3.8,34.96
376,1968.02,3.8,34.96
377,1973.08,3.8,34.96
378,1978.1,3.79,34.97
379,1983.11,3.79,34.97
380,1988.06,3.79,34.97
381,1993.07,3.78,34.97
382,1998.11,3.78,34.97
383,2003.08,3.78,34.97
384,2008.11,3.77,34.97
385,2013.02,3.77,34.97
386,2018.05,3.76,34.97
387,2023.07,3.75,34.97
388,2028.07,3.75,34.97
389,2033.08,3.74,34.97
390,2038.1,3.73,34.97
391,2043.09,3.73,34.97
392,2048.1,3.72,34.97
393,2053.16,3.72,34.97
394,2058.08,3.71,34.97
395,2063.06,3.7,34.97
396,2068.09,3.69,34.97
397,2073.08,3.68,34.97
398,2078.06,3.68,34.97
399,2083.04,3.68,34.97
400,2088.06,3.67,34.97
401,2093.12,3.67,34.97
402,2098.04,3.66,34.97
403,2103.02,3.64,34.97
404,2108.11,3.64,34.97
405,2113.12,3.63,34.97
406,2118.11,3.62,34.97
407,2123.1,3.62,34.97
408,2128.12,3.61,34.97
409,2133.04,3.6,34.97
410,2138.09,3.58,34.98
411,2143.04,3.57,34.97
412,2148.1,3.57,34.97
413,2153.01,3.55,34.97
414,2158.04,3.55,34.97
415,2163.01,3.54,34.97
416,2168.09,3.52,34.97
417,2173.02,3.51,34.97
418,2178.08,3.5,34.97
419,2183.11,3.49,34.97
420,2188.02,3.47,34.97
421,2193.09,3.47,34.97
422,2198.09,3.47,34.97
423,2203.06,3.46,34.97
424,2208.06,3.46,34.97
425,2213.09,3.45,34.97
426,2218.02,3.45,34.97
427,2223.1,3.45,34.97
428,2228.12,3.45,34.97
429,2233.1,3.43,34.97
430,2238.12,3.42,34.96
431,2243.09,3.41,34.96
432,2248.04,3.4,34.97
433,2253.02,3.38,34.97
434,2258.04,3.37,34.97
435,2263.07,3.36,34.96
436,2268.09,3.35,34.97
437,2273.04,3.35,34.96
438,2278.02,3.33,34.97
439,2283.02,3.31,34.97
440,2287.54,3.31,34.96
441,2292.1,3.29,34.97
442,2297.1,3.28,34.96
443,2302.06,3.27,34.96
444,2307.06,3.26,34.96
445,2312.04,3.25,34.96
446,2317.04,3.25,34.96
447,2322.06,3.24,34.96
448,2327.06,3.23,34.96
449,2332.02,3.22,34.96
450,2337.03,3.21,34.96
451,2341.61,3.21,34.96
452,2346.12,3.19,34.96
453,2351.04,3.18,34.96
454,2355.66,3.16,34.95
455,2360.04,3.14,34.95
456,2365.06,3.12,34.96
457,2370.08,3.1,34.95
458,2375.07,3.08,34.96
459,2380.1,3.07,34.96
460,2385.04,3.07,34.96
461,2390.08,3.07,34.95
462,2395.04,3.05,34.95
463,2400.18,3.04,34.95
464,2405.04,3.03,34.95
465,2410.06,3.03,34.95
466,2415.04,3.02,34.95
467,2419.6,3.01,34.95
468,2423.52,3.01,34.95
469,2428.04,3.01,34.95
470,2432.58,3.01,34.95
471,2437.08,3.01,34.95
472,2442.05,3.01,34.95
473,2447.04,3.01,34.95
474,2451.58,3.01,34.95
475,2456.08,3.0,34.95
476,2461.02,2.99,34.95
477,2466.05,2.97,34.95
478,2471.07,2.96,34.95
479,2475.09,2.95,34.95
480,2477.52,2.95,34.95
481,2479.02,2.95,34.95
